Record,Date,UTC Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
         1,11/11/2020,14:05:07,          7,   8.083000E+00,"Agris"                                                                                                                                                                                                                                                         ,"supoles"                                                                                                                                                                                                                                                       ,""                                                                                                                                                                                                                                                              ,"1 UC3 egle"                                                                                                                                                                                                                                                    ,          7,  -8.003951E-01,          1,  -7.968830E-01,          3,          7,   1.130116E+01,         25,   1.097512E+01,          2,          6,          6,  -8.003951E-01,         20,  -8.003951E-01,          1,          0,   9.240000E+02,   2.700000E+02
         2,11/11/2020,14:07:29,          7,   8.083000E+00,"Agris"                                                                                                                                                                                                                                                         ,"supoles"                                                                                                                                                                                                                                                       ,""                                                                                                                                                                                                                                                              ,"1 UC3 egle"                                                                                                                                                                                                                                                    ,          7,  -8.003951E-01,          1,  -7.968830E-01,          3,          7,   1.130116E+01,         25,   1.097512E+01,          2,          6,          6,  -8.003951E-01,         20,  -8.003951E-01,          1,          0,   9.240000E+02,   2.700000E+02
         3,11/11/2020,16:18:27,          8,   5.000000E+00,"Agris"                                                                                                                                                                                                                                                         ,"supoles"                                                                                                                                                                                                                                                       ,""                                                                                                                                                                                                                                                              ,"1 UC3 egle"                                                                                                                                                                                                                                                    ,         10,  -8.501500E-01,         15,  -8.641984E-01,          4,          8,   1.240045E+01,         25,   1.251343E+01,          0,          7,          8,  -8.501500E-01,         20,  -8.501500E-01,          1,          0,   1.017000E+03,   2.910000E+02
