Record,Date,UTC Time,
     20123,11/23/2021,18:40:52,   1.200000E+01
     20124,11/23/2021,18:41:02,   1.700000E+01
     20125,11/23/2021,18:41:12,   2.200000E+01
     20126,11/23/2021,18:41:22,   2.700000E+01
     20127,11/23/2021,18:41:32,   3.200000E+01
     20128,11/23/2021,18:41:42,   3.700000E+01
     20129,11/23/2021,18:41:52,   4.200000E+01
     20130,11/23/2021,18:42:02,   4.700000E+01
     20131,11/23/2021,18:42:12,   5.200000E+01
     20132,11/23/2021,18:42:22,   5.700000E+01
     20133,11/23/2021,18:42:32,   6.200000E+01
     20134,11/23/2021,18:42:42,   6.700000E+01
     20135,11/23/2021,18:42:52,   7.200000E+01
     20136,11/23/2021,18:43:02,   7.700000E+01
     20137,11/23/2021,18:43:12,   8.200000E+01
     20138,11/23/2021,18:43:22,   8.700000E+01
     20139,11/23/2021,18:43:32,   9.200000E+01
     20140,11/23/2021,18:43:42,   9.700000E+01
     20141,11/23/2021,18:43:52,   1.020000E+02
     20142,11/23/2021,18:44:02,   1.070000E+02
     20143,11/23/2021,18:44:12,   1.120000E+02
     20144,11/23/2021,18:44:22,   1.170000E+02
     20145,11/23/2021,18:44:32,   1.220000E+02
     20146,11/23/2021,18:44:42,   1.270000E+02
     20147,11/23/2021,18:44:52,   1.320000E+02
     20148,11/23/2021,18:45:02,   1.370000E+02
     20149,11/23/2021,18:45:12,   1.420000E+02
     20150,11/23/2021,18:45:22,   1.470000E+02
     20151,11/23/2021,18:45:32,   1.520000E+02
     20152,11/23/2021,18:45:42,   1.570000E+02
     20153,11/23/2021,18:45:52,   1.620000E+02
     20154,11/23/2021,18:46:02,   1.670000E+02
     20155,11/23/2021,18:46:12,   1.720000E+02
     20156,11/23/2021,18:46:22,   1.770000E+02
     20157,11/23/2021,18:46:32,   1.820000E+02
     20158,11/23/2021,18:46:42,   1.870000E+02
     20159,11/23/2021,18:46:52,   1.920000E+02
     20160,11/23/2021,18:47:02,   1.970000E+02
     20161,11/23/2021,20:47:13,   1.840000E+02
     20162,11/23/2021,20:47:23,   1.890000E+02
     20163,11/23/2021,20:47:33,   1.940000E+02
     20164,11/23/2021,20:47:43,   1.990000E+02
     20165,11/23/2021,20:47:53,   3.000000E+00
     20166,11/23/2021,20:48:03,   8.000000E+00
     20167,11/23/2021,20:48:13,   1.300000E+01
     20168,11/23/2021,20:48:23,   1.800000E+01
     20169,11/23/2021,20:48:33,   2.300000E+01
     20170,11/23/2021,20:48:43,   2.800000E+01
     20171,11/23/2021,20:48:53,   3.300000E+01
     20172,11/23/2021,20:49:03,   3.800000E+01
     20173,11/23/2021,20:49:13,   4.300000E+01
     20174,11/23/2021,20:49:23,   4.800000E+01
     20175,11/23/2021,20:49:33,   5.300000E+01
     20176,11/23/2021,20:49:43,   5.800000E+01
     20177,11/23/2021,20:49:53,   6.300000E+01
     20178,11/23/2021,20:50:03,   6.800000E+01
     20179,11/23/2021,20:50:13,   7.300000E+01
     20180,11/23/2021,20:50:23,   7.800000E+01
     20181,11/23/2021,20:50:33,   8.300000E+01
     20182,11/23/2021,20:50:43,   8.800000E+01
     20183,11/23/2021,20:50:53,   9.300000E+01
