Record,Date,UTC Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
        23,11/19/2021,15:46:49,     1,14:46:50.470,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        24,11/19/2021,18:46:50,     1,17:46:50.472,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        25,11/19/2021,21:46:50,     1,20:46:51.473,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        26,11/20/2021, 0:46:50,     1,23:46:51.474,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        27,11/20/2021, 3:46:51,     1, 2:46:52.476,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        28,11/20/2021, 6:46:51,     1, 5:46:52.477,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        29,11/20/2021, 9:46:52,     1, 8:46:53.478,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        30,11/20/2021,12:46:52,     1,11:46:53.479,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        31,11/20/2021,15:46:53,     1,14:46:54.481,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        32,11/20/2021,18:46:53,     1,17:46:54.482,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
